epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2459,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00025005,0.00025005,0.00025005
2,26.0698,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000508243,0.000508243,0.000508243
3,38.685,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000757635,0.000757635,0.000757635
4,51.5332,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000998225,0.000998225,0.000998225
5,64.206,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00123001,0.00123001,0.00123001
6,76.9359,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001453,0.001453,0.001453
7,89.5512,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00150197,0.00150197,0.00150197
8,102.217,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00147446,0.00147446,0.00147446
9,114.918,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00144696,0.00144696,0.00144696
10,127.611,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00141945,0.00141945,0.00141945
11,141.186,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00139195,0.00139195,0.00139195
12,154.051,nan,nan,nan,0.04167,0.00485,0.0211,0.00633,nan,nan,nan,0.00136444,0.00136444,0.00136444
13,166.863,nan,nan,nan,0.02564,0.00971,0.0156,0.00581,nan,nan,nan,0.00133693,0.00133693,0.00133693
14,179.406,nan,nan,nan,0.02083,0.01942,0.01256,0.00487,nan,nan,nan,0.00130943,0.00130943,0.00130943
15,192.14,nan,nan,nan,0.01775,0.0303,0.01229,0.00376,nan,nan,nan,0.00128192,0.00128192,0.00128192
16,205.01,nan,nan,nan,0.01111,0.02427,0.00712,0.00213,nan,nan,nan,0.00125442,0.00125442,0.00125442
17,217.637,nan,nan,nan,0.01141,0.02913,0.00727,0.0017,nan,nan,nan,0.00122691,0.00122691,0.00122691
18,230.294,nan,nan,nan,0.00935,0.0303,0.00621,0.00158,nan,nan,nan,0.00119941,0.00119941,0.00119941
19,242.171,nan,nan,nan,0.00926,0.02913,0.00748,0.00192,nan,nan,nan,0.0011719,0.0011719,0.0011719
20,253.595,nan,nan,nan,0.00787,0.03147,0.00697,0.00202,nan,nan,nan,0.0011444,0.0011444,0.0011444
